ACCT,DATE,DESCRIPTION,TYPE,AMOUNT,BALANCE
D12101, 7/9/2012, 204447522, CREDIT, -268.00, -141.00
D12101, 7/31/2012, ENTRY DOOR KEY, OTHER CHARGE, 5.00, -136.00
D12101, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 113.00
D12101, 8/8/2012, 209389004, CREDIT, -268.00, -155.00
D12101, 8/21/2012, POOL KEY, OTHER CHARGE, 5.00, -150.00
D12101, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 99.00
D12101, 9/10/2012, 214098243, CREDIT, -268.00, -169.00
D12101, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 80.00
D12101, 10/10/2012, 219164762, CREDIT, -268.00, -188.00
D12101, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 61.00
D12101, 11/8/2012, 224055563, CREDIT, -268.00, -207.00
D12101, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 42.00
D12101, 12/11/2012, 229443169, CREDIT, -268.00, -226.00
D12101, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 23.00
D12101, 1/10/2013, 234558677, CREDIT, -268.00, -245.00
D12101, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4.00
D12101, 2/4/2013, 238116641, CREDIT, -249.00, -245.00
D12101, 2/11/2013, 239206674, CREDIT, -268.00, -513.00
D12101, 3/1/2013, 242733123, CREDIT, -249.00, -762.00
D12101, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, -513.00
D12101, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, -264.00
D12101, 4/2/2013, 248358582, CREDIT, -249.00, -513.00
D12101, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, -264.00
D12101, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, -15.00
D12101, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 234.00
D12101, 7/2/2013, 263487433, CREDIT, -249.00, -15.00
D12101, 8/1/2013, 268561745, CREDIT, -249.00, -264.00
D12101, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, -15.00

D12102, 3/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 268.00
D12102, 3/15/2011, F/C, FINANCE CHARGE, 25.00, 293.00
D12102, 4/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 561.00
D12102, 4/15/2011, F/C, FINANCE CHARGE, 25.00, 586.00
D12102, 5/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 854.00
D12102, 5/16/2011, F/C, FINANCE CHARGE, 25.00, 879.00
D12102, 6/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 1147.00
D12102, 6/15/2011, F/C, FINANCE CHARGE, 25.00, 1172.00
D12102, 6/15/2011, LEGAL: THIRTY DAY NOTICE, OTHER CHARGE, 226.78, 1398.78
D12102, 7/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 1666.78
D12102, 7/15/2011, F/C, FINANCE CHARGE, 25.00, 1691.78
D12102, 8/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 1959.78
D12102, 8/2/2011, LEGAL: SKIP TRACE, OTHER CHARGE, 30.53, 1990.31
D12102, 8/15/2011, F/C, FINANCE CHARGE, 25.00, 2015.31
D12102, 9/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 2283.31
D12102, 9/12/2011, LEGAL: FORCIBLE ENTRY, OTHER CHARGE, 552.00, 2835.31
D12102, 9/15/2011, F/C, FINANCE CHARGE, 25.00, 2860.31
D12102, 10/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 3128.31
D12102, 10/13/2011, LEGAL: COURT APPEARANCE, OTHER CHARGE, 120.00, 3248.31
D12102, 10/17/2011, F/C, FINANCE CHARGE, 25.00, 3273.31
D12102, 10/20/2011, LEGAL: ALIAS SUMMONS, OTHER CHARGE, 64.50, 3337.81
D12102, 11/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 3605.81
D12102, 11/4/2011, FINE: BLINDS, OTHER CHARGE, 25.00, 3630.81
D12102, 11/15/2011, F/C, FINANCE CHARGE, 25.00, 3655.81
D12102, 11/17/2011, LEGAL: COURT APPEARANCE, OTHER CHARGE, 120.00, 3775.81
D12102, 11/22/2011, LEGAL: ALIAS SUMMONS, OTHER CHARGE, 65.70, 3841.51
D12102, 12/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 4109.51
D12102, 12/15/2011, F/C, FINANCE CHARGE, 25.00, 4134.51
D12102, 12/21/2011, REPAIR: INVOICE # COMED, OTHER CHARGE, 5.66, 4140.17
D12102, 12/22/2011, LEGAL: COURT APPEARANCE, OTHER CHARGE, 435.00, 4575.17
D12102, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4824.17
D12102, 1/17/2012, F/C, FINANCE CHARGE, 25.00, 4849.17
D12102, 1/25/2012, REPAIR: COMED, OTHER CHARGE, 16.06, 4865.23
D12102, 1/26/2012, LEGAL: COURT APPEARANCE, OTHER CHARGE, 289.75, 5154.98
D12102, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 5403.98
D12102, 2/15/2012, F/C, FINANCE CHARGE, 25.00, 5428.98
D12102, 2/23/2012, REPAIR: COMED, OTHER CHARGE, 13.61, 5442.59
D12102, 2/27/2012, REPAIR: INVOICE # THERMOSTAT, OTHER CHARGE, 21.77, 5464.36
D12102, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 5713.36
D12102, 3/15/2012, F/C, FINANCE CHARGE, 25.00, 5738.36
D12102, 3/20/2012, LEGAL: SERVICE FEE, OTHER CHARGE, 50.00, 5788.36
D12102, 3/23/2012, REPAIR: COMED, OTHER CHARGE, 12.94, 5801.30
D12102, 3/29/2012, LEGAL: FILE EVICTION, OTHER CHARGE, 280.00, 6081.30
D12102, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 6330.30
D12102, 4/16/2012, F/C, FINANCE CHARGE, 25.00, 6355.30
D12102, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 6604.30
D12102, 5/15/2012, REPAIR: COMED, OTHER CHARGE, 13.75, 6618.05
D12102, 5/15/2012, F/C, FINANCE CHARGE, 25.00, 6643.05
D12102, 5/22/2012, REPAIR: COMED, OTHER CHARGE, 12.90, 6655.95
D12102, 5/29/2012, BDW: SHERIFF'S SALE, CREDIT, -2662.00, 3993.95
D12102, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4242.95
D12102, 6/15/2012, F/C, FINANCE CHARGE, 25.00, 4267.95
D12102, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4516.95
D12102, 7/16/2012, F/C, FINANCE CHARGE, 25.00, 4541.95
D12102, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4790.95
D12102, 8/13/2012, REPAIR: COMED, OTHER CHARGE, 10.30, 4801.25
D12102, 8/15/2012, F/C, FINANCE CHARGE, 25.00, 4826.25
D12102, 8/21/2012, REPAIR: COMED, OTHER CHARGE, 10.30, 4836.55
D12102, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 5085.55
D12102, 9/17/2012, F/C, FINANCE CHARGE, 25.00, 5110.55
D12102, 9/20/2012, REPAIR: COMED, OTHER CHARGE, 10.30, 5120.85
D12102, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 5369.85
D12102, 10/15/2012, F/C, FINANCE CHARGE, 25.00, 5394.85
D12102, 10/19/2012, REPAIR: COMED, OTHER CHARGE, 10.30, 5405.15
D12102, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 5654.15
D12102, 11/15/2012, F/C, FINANCE CHARGE, 25.00, 5679.15
D12102, 11/19/2012, REPAIR: COMED, OTHER CHARGE, 10.49, 5689.64
D12102, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 5938.64
D12102, 12/17/2012, F/C, FINANCE CHARGE, 25.00, 5963.64
D12102, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 6212.64
D12102, 1/4/2013, ENTRY DOOR KEY, OTHER CHARGE, 5.00, 6217.64
D12102, 1/15/2013, F/C, FINANCE CHARGE, 25.00, 6242.64
D12102, 1/17/2013, 10569727, CREDIT, -2218.69, 4023.95
D12102, 1/17/2013, 10569726, CREDIT, -249.00, 3774.95
D12102, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4023.95
D12102, 2/19/2013, 10574274, CREDIT, -249.00, 3774.95
D12102, 2/22/2013, REPAIR: COMED, OTHER CHARGE, 138.23, 3913.18
D12102, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4162.18
D12102, 3/25/2013, REPAIR: COMED, OTHER CHARGE, 48.49, 4210.67
D12102, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4459.67
D12102, 4/15/2013, F/C, FINANCE CHARGE, 25.00, 4484.67
D12102, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4733.67
D12102, 5/3/2013, 1008, CREDIT, -249.00, 4484.67
D12102, 5/28/2013, ENTRY DOOR KEYS, OTHER CHARGE, 10.00, 4494.67
D12102, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 4743.67
D12102, 6/3/2013, 3351019933, CREDIT, -2993.95, 1749.72
D12102, 6/3/2013, 3351019932, CREDIT, -1000.00, 749.72
D12102, 6/3/2013, 3351019934, CREDIT, -490.72, 259.00
D12102, 6/10/2013, 1024, CREDIT, -249.00, 10.00
D12102, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 259.00
D12102, 7/5/2013, EFT, CREDIT, -249.00, 10.00
D12102, 7/31/2013, 1044, CREDIT, -10.00, 0.00
D12102, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12102, 8/5/2013, EFT, CREDIT, -249.00, 0.00

D12103, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 1/5/2012, EFT, CREDIT, -249.00, 0.00
D12103, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 2/8/2012, EFT, CREDIT, -249.00, 0.00
D12103, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 3/5/2012, EFT, CREDIT, -249.00, 0.00
D12103, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 4/5/2012, EFT, CREDIT, -249.00, 0.00
D12103, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 5/7/2012, EFT, CREDIT, -249.00, 0.00
D12103, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 6/5/2012, EFT, CREDIT, -249.00, 0.00
D12103, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 7/5/2012, EFT, CREDIT, -249.00, 0.00
D12103, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 8/6/2012, EFT, CREDIT, -249.00, 0.00
D12103, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 9/5/2012, EFT, CREDIT, -249.00, 0.00
D12103, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 10/5/2012, EFT, CREDIT, -249.00, 0.00
D12103, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 11/5/2012, EFT, CREDIT, -249.00, 0.00
D12103, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 12/6/2012, EFT, CREDIT, -249.00, 0.00
D12103, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 1/7/2013, EFT, CREDIT, -249.00, 0.00
D12103, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 2/5/2013, EFT, CREDIT, -249.00, 0.00
D12103, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 3/5/2013, EFT, CREDIT, -249.00, 0.00
D12103, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 4/5/2013, EFT, CREDIT, -249.00, 0.00
D12103, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 5/6/2013, EFT, CREDIT, -249.00, 0.00
D12103, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 6/5/2013, EFT, CREDIT, -249.00, 0.00
D12103, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 7/5/2013, EFT, CREDIT, -249.00, 0.00
D12103, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12103, 8/5/2013, EFT, CREDIT, -249.00, 0.00

D12104, 12/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 268.00
D12104, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 517.00
D12104, 1/5/2012, 9725, CREDIT, -268.00, 249.00
D12104, 1/6/2012, 9705, CREDIT, -249.00, 0.00
D12104, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 2/7/2012, 19328757, CREDIT, -249.00, 0.00
D12104, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 3/6/2012, 1003, CREDIT, -249.00, 0.00
D12104, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 4/16/2012, 1005, CREDIT, -249.00, 0.00
D12104, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 5/7/2012, 1006, CREDIT, -249.00, 0.00
D12104, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 6/13/2012, 1007, CREDIT, -249.00, 0.00
D12104, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 7/5/2012, EFT, CREDIT, -249.00, 0.00
D12104, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 8/6/2012, EFT, CREDIT, -249.00, 0.00
D12104, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 9/5/2012, EFT, CREDIT, -249.00, 0.00
D12104, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 10/5/2012, EFT, CREDIT, -249.00, 0.00
D12104, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 11/5/2012, EFT, CREDIT, -249.00, 0.00
D12104, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 12/6/2012, EFT, CREDIT, -249.00, 0.00
D12104, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 1/7/2013, EFT, CREDIT, -249.00, 0.00
D12104, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 2/5/2013, EFT, CREDIT, -249.00, 0.00
D12104, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 3/5/2013, EFT, CREDIT, -249.00, 0.00
D12104, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 4/5/2013, EFT, CREDIT, -249.00, 0.00
D12104, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 5/6/2013, EFT, CREDIT, -249.00, 0.00
D12104, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12104, 6/5/2013, EFT, CREDIT, -249.00, 0.00
D12104, 6/17/2013, POOL & TENNIS COURT KEYS, OTHER CHARGE, 15.00, 15.00
D12104, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 264.00
D12104, 7/5/2013, EFT, CREDIT, -249.00, 15.00
D12104, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 264.00
D12104, 8/5/2013, EFT, CREDIT, -249.00, 15.00
D12104, 8/9/2013, 9869, CREDIT, -15.00, 0.00

D12105, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 1/3/2012, 1957, CREDIT, -249.00, 0.00
D12105, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 2/2/2012, 1958, CREDIT, -249.00, 0.00
D12105, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 3/5/2012, 1962, CREDIT, -249.00, 0.00
D12105, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 4/6/2012, 1963, CREDIT, -249.00, 0.00
D12105, 5/1/2012, 1966, CREDIT, -249.00, -249.00
D12105, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D12105, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 6/7/2012, 1968, CREDIT, -249.00, 0.00
D12105, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 7/16/2012, 1971, CREDIT, -249.00, 0.00
D12105, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 8/3/2012, 1972, CREDIT, -249.00, 0.00
D12105, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 9/4/2012, 1973, CREDIT, -249.00, 0.00
D12105, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 10/3/2012, 1975, CREDIT, -249.00, 0.00
D12105, 10/31/2012, 1976, CREDIT, -249.00, -249.00
D12105, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D12105, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 12/4/2012, 1977, CREDIT, -249.00, 0.00
D12105, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 1/3/2013, 1978, CREDIT, -249.00, 0.00
D12105, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 2/6/2013, 1979, CREDIT, -249.00, 0.00
D12105, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 3/4/2013, 1981, CREDIT, -249.00, 0.00
D12105, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 4/2/2013, 1982, CREDIT, -249.00, 0.00
D12105, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 5/6/2013, 1986, CREDIT, -249.00, 0.00
D12105, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 6/4/2013, 1988, CREDIT, -249.00, 0.00
D12105, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 7/8/2013, 1990, CREDIT, -249.00, 0.00
D12105, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12105, 8/5/2013, 1991, CREDIT, -249.00, 0.00

D12106, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 1/5/2012, EFT, CREDIT, -249.00, 0.00
D12106, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 2/8/2012, EFT, CREDIT, -249.00, 0.00
D12106, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 3/5/2012, EFT, CREDIT, -249.00, 0.00
D12106, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 4/5/2012, EFT, CREDIT, -249.00, 0.00
D12106, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 5/7/2012, EFT, CREDIT, -249.00, 0.00
D12106, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 6/5/2012, EFT, CREDIT, -249.00, 0.00
D12106, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 7/5/2012, EFT, CREDIT, -249.00, 0.00
D12106, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 8/6/2012, EFT, CREDIT, -249.00, 0.00
D12106, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 9/5/2012, EFT, CREDIT, -249.00, 0.00
D12106, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 10/5/2012, EFT, CREDIT, -249.00, 0.00
D12106, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 11/5/2012, EFT, CREDIT, -249.00, 0.00
D12106, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 12/6/2012, EFT, CREDIT, -249.00, 0.00
D12106, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 1/7/2013, EFT, CREDIT, -249.00, 0.00
D12106, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 2/5/2013, EFT, CREDIT, -249.00, 0.00
D12106, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 3/5/2013, EFT, CREDIT, -249.00, 0.00
D12106, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 4/5/2013, EFT, CREDIT, -249.00, 0.00
D12106, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 5/6/2013, EFT, CREDIT, -249.00, 0.00
D12106, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 6/5/2013, EFT, CREDIT, -249.00, 0.00
D12106, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 7/5/2013, EFT, CREDIT, -249.00, 0.00
D12106, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D12106, 8/5/2013, EFT, CREDIT, -249.00, 0.00

D13091, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 1/5/2012, EFT, CREDIT, -249.00, 0.00
D13091, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 2/8/2012, EFT, CREDIT, -249.00, 0.00
D13091, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 3/5/2012, EFT, CREDIT, -249.00, 0.00
D13091, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 4/5/2012, EFT, CREDIT, -249.00, 0.00
D13091, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 5/7/2012, EFT, CREDIT, -249.00, 0.00
D13091, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 6/5/2012, EFT, CREDIT, -249.00, 0.00
D13091, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 7/5/2012, EFT, CREDIT, -249.00, 0.00
D13091, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 8/5/2012, POOL KEY, OTHER CHARGE, 5.00, 254.00
D13091, 8/6/2012, EFT, CREDIT, -249.00, 5.00
D13091, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 254.00
D13091, 9/5/2012, EFT, CREDIT, -249.00, 5.00
D13091, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 254.00
D13091, 10/2/2012, 2855, CREDIT, -5.00, 249.00
D13091, 10/5/2012, EFT, CREDIT, -249.00, 0.00
D13091, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 11/5/2012, EFT, CREDIT, -249.00, 0.00
D13091, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 12/6/2012, EFT, CREDIT, -249.00, 0.00
D13091, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 1/7/2013, EFT, CREDIT, -249.00, 0.00
D13091, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 2/5/2013, EFT, CREDIT, -249.00, 0.00
D13091, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 3/5/2013, EFT, CREDIT, -249.00, 0.00
D13091, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 4/5/2013, EFT, CREDIT, -249.00, 0.00
D13091, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 5/6/2013, EFT, CREDIT, -249.00, 0.00
D13091, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 6/5/2013, EFT, CREDIT, -249.00, 0.00
D13091, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 7/5/2013, EFT, CREDIT, -249.00, 0.00
D13091, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13091, 8/5/2013, EFT, CREDIT, -249.00, 0.00

D13092, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13092, 1/5/2012, EFT, CREDIT, -249.00, 0.00
D13092, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13092, 2/8/2012, EFT, CREDIT, -249.00, 0.00
D13092, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13092, 3/5/2012, EFT, CREDIT, -249.00, 0.00
D13092, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13092, 4/5/2012, EFT, CREDIT, -249.00, 0.00
D13092, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13092, 5/7/2012, EFT, CREDIT, -249.00, 0.00
D13092, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13092, 6/5/2012, EFT, CREDIT, -249.00, 0.00
D13092, 6/28/2012, POOL KEYS, OTHER CHARGE, 10.00, 10.00
D13092, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 259.00
D13092, 7/5/2012, EFT, CREDIT, -249.00, 10.00
D13092, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 259.00
D13092, 8/6/2012, EFT, CREDIT, -249.00, 10.00
D13092, 8/6/2012, 9010, CREDIT, -10.00, 0.00
D13092, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13092, 9/5/2012, EFT, CREDIT, -249.00, 0.00
D13092, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D13092, 10/5/2012, EFT, CREDIT, -249.00, 0.00
D13092, 10/24/2012, FINE: LEASE, OTHER CHARGE, 750.00, 750.00
